Entity,Group,Value Name,Value Type,Value,Rank,Start Time,End Time
Q1032,alias,language,be-tarask,Ніґер,,,
Q1032,alias,language,de,Republik Niger,,,
Q1032,alias,language,en,Republic of Niger,,,
Q1032,alias,language,en,Republic Niger,,,
Q1032,alias,language,nb,Republikken Niger,,,
Q1032,alias,language,hu,Nigeri Köztársaság,,,
Q1032,alias,language,es,República del Níger,,,
,,,,,,,
Q1032,description,language,en,Country in Mid-West-Africa,,,
Q1032,description,language,fr,Pays d'Afrique de l'Ouest,,,
Q1032,description,language,es,país de África,,,
Q1032,description,language,it,stato dell'Africa Occidentale,,,
Q1032,description,language,ru,страна в Африке,,,
Q1032,description,language,de,Staat in Afrika,,,
Q1032,description,language,he,מדינה,,,
Q1032,description,language,ilo,pagilian idiay Aprika,,,
Q1032,description,language,nb,land i Afrika,,,
Q1032,description,language,fa,یکی از فقیرترین کشورهای جهان در آفریقا,,,
Q1032,description,language,hu,állam Nyugat-Afrikában,,,
Q1032,description,language,en-gb,country in Africa,,,
Q1032,description,language,nl,land,,,
Q1032,description,language,sr,држава у западној Африци,,,
Q1032,description,language,sr-ec,држава у западној Африци,,,
Q1032,description,language,sr-el,država u zapadnoj Africi,,,
Q1032,description,language,zh-hans,非洲国家,,,
,,,,,,,
Q1032,label,language,en,Niger,,,
Q1032,label,language,fr,Niger,,,
Q1032,label,language,es,Níger,,,
Q1032,label,language,be-tarask,Нігер,,,
Q1032,label,language,nan,Niger,,,
Q1032,label,language,en-ca,Niger,,,
Q1032,label,language,en-gb,Niger,,,
Q1032,label,language,nl,Niger,,,
Q1032,label,language,de,Niger,,,
Q1032,label,language,de-ch,Niger,,,
Q1032,label,language,sw,Niger,,,
Q1032,label,language,ace,Niger,,,
Q1032,label,language,af,Niger,,,
Q1032,label,language,am,ኒጄር,,,
Q1032,label,language,an,Nícher,,,
Q1032,label,language,ar,النيجر,,,
Q1032,label,language,arc,ܢܝܓܪ,,,
Q1032,label,language,arz,نيجر,,,
Q1032,label,language,ast,Níxer,,,
Q1032,label,language,az,Niger,,,
